243	729
0	32	28
0	137	46
0	16	39
1	125	12
1	214	15
1	129	45
2	40	27
2	18	-8
2	118	4
3	206	3
3	123	-1
3	229	47
4	66	46
4	195	44
4	39	40
5	231	48
5	10	0
5	28	14
6	56	3
6	227	-6
6	37	7
7	205	11
7	144	26
7	76	22
8	223	2
8	195	20
8	63	38
9	220	9
9	115	29
9	13	15
10	139	5
10	31	28
10	82	18
11	46	15
11	217	9
11	218	41
12	78	7
12	209	10
12	2	27
13	84	-2
13	116	39
13	39	-7
14	102	25
14	29	5
14	11	-6
15	123	-4
15	162	44
15	187	22
16	215	22
16	188	41
16	51	-5
17	118	22
17	128	35
17	125	26
18	226	17
18	220	11
18	17	20
19	14	32
19	84	42
19	226	14
20	120	-6
20	72	11
20	12	29
21	198	49
21	213	19
21	171	4
22	88	49
22	240	8
22	9	14
23	196	17
23	85	18
23	182	-10
24	216	27
24	103	29
24	172	36
25	162	19
25	74	17
25	89	9
26	173	32
26	138	-4
26	95	17
27	124	6
27	97	11
27	171	42
28	169	0
28	155	29
28	164	5
29	49	1
29	169	48
29	133	8
30	93	-5
30	223	-7
30	122	17
31	17	22
31	93	11
31	103	0
32	118	27
32	197	34
32	221	6
33	137	44
33	202	27
33	154	4
34	157	34
34	3	36
34	76	21
35	48	13
35	114	-2
35	75	13
36	92	13
36	45	-3
36	211	-4
37	162	23
37	12	26
37	122	5
38	218	21
38	122	-9
38	2	20
39	221	19
39	113	22
39	179	39
40	105	25
40	190	26
40	168	49
41	173	8
41	120	-6
41	180	19
42	113	-8
42	51	6
42	31	-5
43	196	13
43	70	-6
43	207	-3
44	222	-10
44	23	-6
44	174	36
45	197	16
45	216	47
45	182	10
46	239	41
46	1	-1
46	41	44
47	215	28
47	55	47
47	72	13
48	105	7
48	162	9
48	27	-7
49	22	-8
49	151	39
49	203	-9
50	54	4
50	196	16
50	57	43
51	123	37
51	19	47
51	43	39
52	200	42
52	125	43
52	173	14
53	32	38
53	16	18
53	118	49
54	137	-3
54	238	0
54	176	32
55	223	21
55	44	24
55	197	41
56	95	8
56	5	28
56	40	21
57	94	10
57	138	14
57	31	41
58	74	14
58	97	37
58	120	-4
59	175	29
59	19	43
59	184	19
60	174	43
60	129	33
60	196	7
61	141	10
61	166	36
61	226	26
62	190	49
62	228	36
62	136	-5
63	2	8
63	39	39
63	134	8
64	44	15
64	151	-6
64	74	23
