243	486
0	77	15
0	232	33
1	136	-1
1	165	19
2	77	33
2	195	2
3	15	6
3	198	26
4	150	22
4	125	46
5	9	47
5	32	17
6	197	46
6	102	39
7	142	35
7	40	36
8	200	46
8	176	0
9	120	40
9	227	24
10	70	17
10	138	-4
11	11	30
11	65	9
12	19	25
12	31	33
13	82	8
13	60	23
14	12	29
14	71	34
15	112	30
15	86	28
16	66	13
16	79	14
17	86	34
17	226	37
18	135	45
18	116	1
19	15	38
19	97	0
20	51	15
20	99	23
21	217	-5
21	124	7
22	200	25
22	32	40
23	20	18
23	179	36
24	62	44
24	194	41
25	155	5
25	77	47
26	24	26
26	29	26
27	11	41
27	96	43
28	54	1
28	74	12
29	199	15
29	122	-1
30	90	32
30	228	13
31	56	39
31	78	3
32	160	12
32	103	35
33	157	11
33	68	17
34	123	39
34	107	36
35	33	49
35	162	19
36	118	9
36	210	-6
37	224	37
37	196	45
38	2	-5
38	40	19
39	1	-5
39	22	-4
40	152	-3
40	49	23
41	90	33
41	45	35
42	121	1
42	72	13
43	20	7
43	134	-4
44	170	-5
44	131	5
45	120	25
45	76	13
46	191	43
46	129	21
47	93	28
47	46	26
48	229	8
48	42	21
49	49	43
49	135	44
50	190	35
50	75	29
51	87	36
51	88	26
52	112	25
52	137	-3
53	106	-5
53	238	3
54	228	11
54	24	-10
55	124	26
55	100	38
56	19	1
56	90	3
57	194	9
57	152	41
58	135	15
58	43	13
59	34	29
59	33	14
60	6	49
60	12	-4
61	115	39
61	132	27
62	112	10
62	228	-6
63	87	31
63	187	41
64	148	43
64	167	40
65	116	28
65	142	-10
66	203	-1
66	133	3
67	93	29
67	62	1
68	97	4
68	8	12
69	18	20
69	7	36
70	199	6
70	202	37
71	39	36
71	58	29
72	162	35
72	18	15
73	161	20
73	192	26
74	231	31
74	241	-4
75	32	40
75	24	43
76	57	34
76	6	36
77	204	-6
77	24	46
78	228	-10
78	239	3
79	183	-9
79	28	20
80	195	-2
80	236	4
81	202	18
81	30	38
82	104	33
82	136	0
83	114	1
83	42	29
84	168	30
84	48	12
85	20	35
85	68	3
86	222	5
86	99	9
87	96	5
87	165	7
88	223	2
88	227	27
89	19	36
89	77	42
90	79	26
90	27	-1
91	205	37
91	4	-7
92	182	32
92	148	-7
93	102	10
93	15	47
94	193	9
94	162	44
95	173	-1
95	46	28
96	95	38
96	107	34
97	111	21
97	153	19
98	235	18
98	130	-6
99	238	-6
99	187	15
100	167	11
100	23	43
101	104	8
101	119	-4
102	124	20
102	220	-2
103	236	12
103	14	42
104	66	-9
104	230	48
105	87	33
105	3	10
106	36	23
106	134	-4
107	14	26
107	91	24
108	19	1
108	91	42
109	79	14
109	46	9
110	0	39
110	207	38
111	176	-10
111	113	43
112	228	30
112	128	31
113	63	5
113	88	48
114	216	-8
114	173	45
115	112	49
115	57	48
116	131	5
116	140	-9
117	46	23
117	205	-2
118	169	-1
118	188	1
119	241	19
119	16	16
120	220	33
120	242	22
121	200	0
121	85	4
122	66	48
122	54	11
123	235	3
123	23	6
124	236	15
124	81	3
125	122	4
125	174	-9
126	90	31
126	188	43
127	231	35
127	166	25
128	10	42
128	112	-6
129	37	-1
129	242	46
130	196	-10
130	164	18
131	91	21
131	33	4
132	53	23
132	55	-5
133	37	9
133	5	16
134	104	-2
134	72	7
135	91	-10
135	69	8
136	49	12
136	145	26
137	61	40
137	142	27
138	175	9
138	20	44
139	242	9
139	158	31
140	240	33
140	180	28
141	170	27
141	23	42
142	50	20
142	135	47
143	241	-7
143	65	21
144	26	24
144	144	22
145	39	43
145	30	7
146	78	43
146	113	37
147	32	30
147	131	36
148	45	22
148	171	24
149	212	12
149	112	47
150	141	-10
150	104	40
151	225	-6
151	169	31
152	207	42
152	3	19
153	3	48
153	167	25
154	93	47
154	25	33
155	28	9
155	148	-2
156	111	34
156	164	-2
157	180	36
157	132	14
158	147	21
158	107	37
159	182	48
159	62	31
160	230	35
160	169	29
161	166	-8
161	16	14
162	207	25
162	118	3
163	7	-8
163	25	10
164	144	22
164	140	48
165	238	31
165	127	23
166	74	-1
166	141	-4
167	175	3
167	181	19
168	20	-2
168	56	-6
169	150	0
169	52	-6
170	174	17
170	119	45
171	205	-4
171	91	-10
172	156	42
172	75	3
173	157	-2
173	117	38
174	65	47
174	44	26
175	207	23
175	98	26
176	24	21
176	58	30
177	185	-2
177	108	-2
178	45	2
178	189	10
179	105	14
179	49	46
180	27	16
180	193	-3
181	156	23
181	130	9
182	83	43
182	195	0
183	172	12
183	67	26
184	122	35
184	72	14
185	187	33
185	49	16
186	236	39
186	172	41
187	72	39
187	234	-3
188	190	0
188	56	21
189	48	-2
189	40	31
190	5	26
190	1	22
191	51	12
191	146	48
192	66	36
192	144	-10
193	73	43
193	100	17
194	164	-3
194	240	4
195	155	15
195	44	7
196	33	-3
196	201	17
197	165	43
197	52	18
198	105	41
198	161	1
199	107	39
199	39	18
200	30	10
200	139	40
201	87	34
201	221	40
202	50	45
202	207	22
203	197	1
203	146	35
204	241	39
204	96	46
205	186	33
205	206	10
206	35	-7
206	27	-9
207	40	24
207	71	40
208	102	49
208	99	9
209	155	17
209	77	39
210	99	38
210	222	41
211	27	23
211	107	21
212	12	-9
212	62	32
213	47	32
213	233	30
214	90	9
214	216	5
215	220	-3
215	213	7
216	216	18
216	152	29
217	178	25
217	212	7
218	217	-5
218	189	38
219	118	42
219	170	20
220	208	22
220	207	43
221	122	33
221	61	37
222	215	36
222	172	48
223	140	21
223	178	27
224	183	48
224	107	-4
225	16	28
225	79	3
226	14	31
226	93	-8
227	102	6
227	56	45
228	10	22
228	102	40
229	232	-4
229	208	15
230	115	29
230	207	19
231	39	43
231	202	16
232	151	48
232	0	48
233	68	-1
233	142	15
234	95	20
234	97	10
235	72	38
235	201	33
236	193	20
236	117	-8
237	242	46
237	157	21
238	11	29
238	181	46
239	235	14
239	144	40
240	161	38
240	237	40
241	3	47
241	137	22
242	99	15
242	2	14
